Year;County;Area;Population;Seats
2017;Akershus;4918;556254;16
2017;Aust-Agder;9157;111495;3
2017;Buskerud;14912;265164;8
2017;Finnmark;48617;73787;4
2017;Hedmark;27398;192791;6
2017;Hordaland;15440;490570;15
2017;Møre og Romsdal;15115;256628;8
2017;Nordland;38462;238320;8
2017;Nord-Trøndelag;22415;133390;4
2017;Oppland;25192;187147;6
2017;Oslo;454;613285;18
2017;Rogaland;9376;443115;13
2017;Sogn og Fjordane;18623;108201;3
2017;Sør-Trøndelag;18856;297950;9
2017;Telemark;15298;170023;5
2017;Troms;25870;158650;5
2017;Vest-Agder;7277;174324;5
2017;Vestfold;2224;236424;6
2017;Østfold;4182;278352;8
2013;Akershus;4918;556254;16
2013;Aust-Agder;9157;111495;3
2013;Buskerud;14912;265164;8
2013;Finnmark;48617;73787;4
2013;Hedmark;27398;192791;6
2013;Hordaland;15440;490570;15
2013;Møre og Romsdal;15115;256628;8
2013;Nordland;38462;238320;8
2013;Nord-Trøndelag;22415;133390;4
2013;Oppland;25192;187147;6
2013;Oslo;454;613285;18
2013;Rogaland;9376;443115;13
2013;Sogn og Fjordane;18623;108201;3
2013;Sør-Trøndelag;18856;297950;9
2013;Telemark;15298;170023;5
2013;Troms;25870;158650;5
2013;Vest-Agder;7277;174324;5
2013;Vestfold;2224;236424;6
2013;Østfold;4182;278352;8
2009;Akershus;5377;594533;15
2009;Aust-Agder;9157;115785;3
2009;Buskerud;14693;277684;8
2009;Finnmark;48617;75758;4
2009;Hedmark;27398;195356;7
2009;Hordaland;15440;516497;14
2009;Møre og Romsdal;14374;265290;8
2009;Nordland;36879;241906;9
2009;Nord-Trøndelag;23679;136399;5
2009;Oppland;25192;188953;6
2009;Oslo;454;658390;16
2009;Rogaland;9376;470175;12
2009;Sogn og Fjordane;18431;109530;4
2009;Sør-Trøndelag;19789;313370;9
2009;Telemark;15298;172494;5
2009;Troms;26189;164330;6
2009;Vest-Agder;7277;182701;5
2009;Vestfold;2166;244967;6
2009;Østfold;3999;289867;8
2005;Akershus;0;0;15
2005;Aust-Agder;0;0;3
2005;Buskerud;0;0;8
2005;Finnmark;0;0;4
2005;Hedmark;0;0;7
2005;Hordaland;0;0;14
2005;Møre og Romsdal;0;0;8
2005;Nordland;0;0;9
2005;Nord-Trøndelag;0;0;5
2005;Oppland;0;0;6
2005;Oslo;0;0;16
2005;Rogaland;0;0;12
2005;Sogn og Fjordane;0;0;4
2005;Sør-Trøndelag;0;0;9
2005;Telemark;0;0;5
2005;Troms;0;0;6
2005;Vest-Agder;0;0;5
2005;Vestfold;0;0;6
2005;Østfold;0;0;8
